topicId,rank,docId,filename
0,0,0,file:/C:/TMT/for%20TMT/d1.txt
0,1,3,file:/C:/TMT/for%20TMT/d4.txt
0,2,1,file:/C:/TMT/for%20TMT/d2.txt
0,3,2,file:/C:/TMT/for%20TMT/d3.txt
1,0,1,file:/C:/TMT/for%20TMT/d2.txt
1,1,3,file:/C:/TMT/for%20TMT/d4.txt
1,2,2,file:/C:/TMT/for%20TMT/d3.txt
1,3,0,file:/C:/TMT/for%20TMT/d1.txt
2,0,2,file:/C:/TMT/for%20TMT/d3.txt
2,1,0,file:/C:/TMT/for%20TMT/d1.txt
2,2,3,file:/C:/TMT/for%20TMT/d4.txt
2,3,1,file:/C:/TMT/for%20TMT/d2.txt
3,0,2,file:/C:/TMT/for%20TMT/d3.txt
3,1,3,file:/C:/TMT/for%20TMT/d4.txt
3,2,1,file:/C:/TMT/for%20TMT/d2.txt
3,3,0,file:/C:/TMT/for%20TMT/d1.txt
4,0,1,file:/C:/TMT/for%20TMT/d2.txt
4,1,3,file:/C:/TMT/for%20TMT/d4.txt
4,2,0,file:/C:/TMT/for%20TMT/d1.txt
4,3,2,file:/C:/TMT/for%20TMT/d3.txt
5,0,1,file:/C:/TMT/for%20TMT/d2.txt
5,1,0,file:/C:/TMT/for%20TMT/d1.txt
5,2,3,file:/C:/TMT/for%20TMT/d4.txt
5,3,2,file:/C:/TMT/for%20TMT/d3.txt
6,0,3,file:/C:/TMT/for%20TMT/d4.txt
6,1,1,file:/C:/TMT/for%20TMT/d2.txt
6,2,2,file:/C:/TMT/for%20TMT/d3.txt
6,3,0,file:/C:/TMT/for%20TMT/d1.txt
